# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        2.5000000000     -340.4709664921
        2.4000000000     -340.4982835976
        2.3000000000     -340.5279355852
        2.2000000000     -340.5595625837
        2.1000000000     -340.5926905129
        2.0000000000     -340.6267098856
        1.9000000000     -340.6608346086
        1.8000000000     -340.6940059641
        1.7000000000     -340.7246799733
        1.6000000000     -340.7504148064
        1.5000000000     -340.7671799027
        1.4000000000     -340.7683419066
        1.3000000000     -340.7432818702
        1.2000000000     -340.6754510428
        1.1000000000     -340.5393785006
        1.0000000000     -340.2959958952
        0.9000000000     -339.8855331911
        0.8000000000     -339.2152002445
