# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.5000000000     -341.7490501800
        3.4000000000     -341.7694591330
        3.3000000000     -341.7912127210
        3.2000000000     -341.8145299620
        3.1000000000     -341.8394679180
        3.0000000000     -341.8660908540
        2.9000000000     -341.8944533240
        2.8000000000     -341.9245932910
        2.7000000000     -341.9565255430
        2.6000000000     -341.9902347060
        2.5000000000     -342.0256676470
        2.4000000000     -342.0627247830
        2.3000000000     -342.1012490990
        2.2000000000     -342.1410102660
        2.1000000000     -342.1816786440
        2.0000000000     -342.2227794070
        1.9000000000     -342.2636101060
        1.8000000000     -342.3030955550
        1.7000000000     -342.3395434250
        1.6000000000     -342.3702539230
        1.5000000000     -342.3909263520
        1.4000000000     -342.3947847320
        1.3000000000     -342.3712979280
        1.2000000000     -342.3042893070
        1.1000000000     -342.1690970710
        1.0000000000     -341.9280493240
