# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.5000000000     -342.1846137550
        3.4000000000     -342.1848213660
        3.3000000000     -342.1850957870
        3.2000000000     -342.1854612290
        3.1000000000     -342.1859504080
        3.0000000000     -342.1866077780
        2.9000000000     -342.1874941380
        2.8000000000     -342.1886932090
        2.7000000000     -342.1903210970
        2.6000000000     -342.1925401170
        2.5000000000     -342.1955795320
        2.4000000000     -342.1997677910
        2.3000000000     -342.2055848160
        2.2000000000     -342.2137506080
        2.1000000000     -342.2253795690
        2.0000000000     -342.2422430080
        1.9000000000     -342.2671444870
        1.8000000000     -342.3030955550
        1.7000000000     -342.3395434250
        1.6000000000     -342.3702539230
        1.5000000000     -342.3909263520
        1.4000000000     -342.3947847320
        1.3000000000     -342.3712979280
        1.2000000000     -342.3042893070
        1.1000000000     -342.1690970710
        1.0000000000     -341.9280493240
