# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.5000000000     -341.7821783500
        3.4000000000     -341.8023268490
        3.3000000000     -341.8239218910
        3.2000000000     -341.8470979960
        3.1000000000     -341.8719407030
        3.0000000000     -341.8985437560
        2.9000000000     -341.9270012780
        2.8000000000     -341.9574041730
        2.7000000000     -341.9898355670
        2.6000000000     -342.0243639420
        2.5000000000     -342.0610316870
        2.4000000000     -342.0998361170
        2.3000000000     -342.1407006890
        2.2000000000     -342.1834367890
        2.1000000000     -342.2276985580
        2.0000000000     -342.2729292490
        1.9000000000     -342.3182837210
        1.8000000000     -342.3624932150
        1.7000000000     -342.4036270610
        1.6000000000     -342.4387055690
        1.5000000000     -342.4631218310
        1.4000000000     -342.4698285140
        1.3000000000     -342.4482191550
        1.2000000000     -342.3825033050
        1.1000000000     -342.2489943830
        1.0000000000     -342.0110365430
