# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.5000000000     -342.2076762930
        3.4000000000     -342.2078819440
        3.3000000000     -342.2081553310
        3.2000000000     -342.2085214710
        3.1000000000     -342.2090151960
        3.0000000000     -342.2096855860
        2.9000000000     -342.2106029370
        2.8000000000     -342.2118697870
        2.7000000000     -342.2136380280
        2.6000000000     -342.2161347500
        2.5000000000     -342.2197003430
        2.4000000000     -342.2248441590
        2.3000000000     -342.2323267780
        2.2000000000     -342.2432842510
        2.1000000000     -342.2594158160
        2.0000000000     -342.2832506420
        1.9000000000     -342.3184679930
        1.8000000000     -342.3624932150
        1.7000000000     -342.4036270610
        1.6000000000     -342.4387055690
        1.5000000000     -342.4631218310
        1.4000000000     -342.4698285140
        1.3000000000     -342.4482191550
        1.2000000000     -342.3825033050
        1.1000000000     -342.2489943830
        1.0000000000     -342.0110365430
