# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        2.5000000000     -342.2521559534
        2.4000000000     -342.2811040478
        2.3000000000     -342.3131528693
        2.2000000000     -342.3481009656
        2.1000000000     -342.3855843492
        2.0000000000     -342.4250190233
        1.9000000000     -342.4655182557
        1.8000000000     -342.5057534457
        1.7000000000     -342.5437170299
        1.6000000000     -342.5763439533
        1.5000000000     -342.5989479264
        1.4000000000     -342.6044240211
        1.3000000000     -342.5821423970
        1.2000000000     -342.5163305965
        1.1000000000     -342.3833693329
        1.0000000000     -342.1467357362
        0.9000000000     -341.7474812318
        0.8000000000     -341.0885332684
