# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.5000000000     -341.8013117100
        3.4000000000     -341.8208602230
        3.3000000000     -341.8419055670
        3.2000000000     -341.8645492400
        3.1000000000     -341.8888934300
        3.0000000000     -341.9150389730
        2.9000000000     -341.9430822330
        2.8000000000     -341.9731109070
        2.7000000000     -342.0051984740
        2.6000000000     -342.0393970300
        2.5000000000     -342.0757279500
        2.4000000000     -342.1141692390
        2.3000000000     -342.1546374560
        2.2000000000     -342.1969608460
        2.1000000000     -342.2408387580
        2.0000000000     -342.2857799240
        1.9000000000     -342.3310073440
        1.8000000000     -342.3753100670
        1.7000000000     -342.4168135480
        1.6000000000     -342.4526310700
        1.5000000000     -342.4783435680
        1.4000000000     -342.4872208420
        1.3000000000     -342.4690243040
        1.2000000000     -342.4081092150
        1.1000000000     -342.2804032780
        1.0000000000     -342.0485877770
