# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.5000000000     -342.2163302080
        3.4000000000     -342.2165208220
        3.3000000000     -342.2167794890
        3.2000000000     -342.2171332290
        3.1000000000     -342.2176210830
        3.0000000000     -342.2182991850
        2.9000000000     -342.2192477860
        2.8000000000     -342.2205813330
        2.7000000000     -342.2224635190
        2.6000000000     -342.2251304440
        2.5000000000     -342.2289267010
        2.4000000000     -342.2343617170
        2.3000000000     -342.2421974840
        2.2000000000     -342.2535836400
        2.1000000000     -342.2702583120
        2.0000000000     -342.2948227260
        1.9000000000     -342.3310574080
        1.8000000000     -342.3753100670
        1.7000000000     -342.4168135480
        1.6000000000     -342.4526310700
        1.5000000000     -342.4783435680
        1.4000000000     -342.4872208420
        1.3000000000     -342.4690243040
        1.2000000000     -342.4081092150
        1.1000000000     -342.2804032780
        1.0000000000     -342.0485877770
