# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        2.5000000000     -342.2984749762
        2.4000000000     -342.3280034746
        2.3000000000     -342.3604597318
        2.2000000000     -342.3956409652
        2.1000000000     -342.4332144107
        2.0000000000     -342.4726585555
        1.9000000000     -342.5131716382
        1.8000000000     -342.5535272291
        1.7000000000     -342.5918471687
        1.6000000000     -342.6252523265
        1.5000000000     -342.6493375725
        1.4000000000     -342.6573863026
        1.3000000000     -342.6391681905
        1.2000000000     -342.5790366780
        1.1000000000     -342.4529047117
        1.0000000000     -342.2234413650
        0.9000000000     -341.8319017292
        0.8000000000     -341.1832338483
